pad,x,y,scale,direction,cobo,asad,aget,channel,cy,cx
1904,83.439995,53.133205,0.5,1,0,2,0,29,-83.439995,-53.841647699623984
1905,83.439995,57.383862,0.5,0,5,3,2,1,-83.439995,-56.675419300376014
1906,85.894112,53.133205,0.5,0,0,2,0,33,-85.894112,-52.42476230037601
1907,85.894112,57.383862,0.5,1,5,3,2,12,-85.894112,-58.09230469962399
1908,88.348236,57.383862,0.5,0,5,3,2,23,-88.348236,-56.675419300376014
1909,88.348236,53.133205,0.5,1,0,2,0,37,-88.348236,-53.841647699623984
1910,90.802353,57.383862,0.5,1,5,3,2,31,-90.802353,-58.09230469962399
1911,90.802353,53.133205,0.5,0,5,3,2,43,-90.802353,-52.42476230037601
1912,93.25647,53.133205,0.5,1,5,3,3,10,-93.25647,-53.841647699623984
1913,93.25647,57.383862,0.5,0,5,3,2,39,-93.25647,-56.675419300376014
1914,95.710587,53.133205,0.5,0,5,3,3,21,-95.710587,-52.42476230037601
1915,95.710587,57.383862,0.5,1,5,3,2,50,-95.710587,-58.09230469962399
1916,98.164703,57.383862,0.5,0,5,3,3,15,-98.164703,-56.675419300376014
1917,98.164703,53.133205,0.5,1,5,3,2,41,-98.164703,-53.841647699623984
1918,100.61882,57.383862,0.5,1,5,3,3,26,-100.61882,-58.09230469962399
1919,100.61882,53.133205,0.5,0,5,3,3,36,-100.61882,-52.42476230037601
1920,103.07294,53.133205,0.5,1,5,3,3,44,-103.07294,-53.841647699623984
1921,103.07294,57.383862,0.5,0,5,3,3,30,-103.07294,-56.675419300376014
1922,105.52705,53.133205,0.5,0,5,3,3,53,-105.52705,-52.42476230037601
1923,105.52705,57.383862,0.5,1,5,3,3,40,-105.52705,-58.09230469962399
1924,107.98117,57.383862,0.5,0,5,3,3,49,-107.98117,-56.675419300376014
1925,107.98117,53.133205,0.5,1,5,3,3,47,-107.98117,-53.841647699623984
1926,110.43529,57.383862,0.5,1,5,3,3,58,-110.43529,-58.09230469962399
1927,110.43529,53.133205,0.5,0,5,3,3,51,-110.43529,-52.42476230037601
